name,description,image,important
West Wing,"When entering the hospital from the south entrance, walk straight past the Margaret Birch Wing, and most of the Tower. The West Wing will be on your left. 
",../../../images/centenary-maps/general.png,
Medical Mall,When entering the hospital from the north entrance you are already in the Medical Mall.,../../../images/centenary-maps/general.png,
Tower,"When entering the hospital from the south entrance, walk straight past the Margaret Birch Wing and you will arrive at the Tower.",../../../images/centenary-maps/general.png,
Margaret Birch Wing,"When entering the hospital from the south entrance, you are already in the Margaret Birch Wing.",../../../images/centenary-maps/general.png,
Emergency,"When entering the hospital from the Emergency entrance which is located on Neilson Road, you will find the Emergency.",../../../images/centenary-maps/emergency.png,TRUE
Pathways,"Pathways is located on the other side of Neilson Road from the hospital beside Ellesmere Road. The address is 25 Neilson Rd, Scarborough, ON M1E 5E1.",../../../images/centenary-maps/general.png,
Seven oaks Long-Term Care Home,The Seven Oaks Long-Term Care Home is located on the other side of Neilson Road from the hospital.,../../../images/centenary-maps/general.png,
Thomas J. Shoniker Building,"The Thomas J. Shoniker Building is located on Neilson Road, opposite the East Parking of the hospital. To get there from the hospital, when entering the hospital from the South Entrance (level 1), walk straight and go to the right of Patient Registration, walk past the Tower Elevators and take the next right, walk down the hallway until you arrive at the Tunnel to the Thomas J Shoniker Building.",../../../images/centenary-maps/general.png,
Cancer Care & Hematology Clinic,"When entering the hospital from the South Entrance (level 1), walk straight and go to the right of Patient Registration, walk down the long hall and pass Human Resources and then turn right, keep walking until you arrive at the Cancer Care and Hematology Clinic on your left.",../../../images/centenary-maps/elevators.png,
Thyroid Rapid Diagnostic Clinic,"When entering the hospital from the South Entrance (level 1), walk straight and go to the right of Patient Registration, walk down the long hall and pass Human Resources and then turn right, keep walking until you arrive at the Thyroid Rapid Diagnostic Clinic.",../../../images/centenary-maps/elevators.png,
Human Resources,"When entering the hospital from the South Entrance (level 1), walk straight and go to the right of Patient Registration, walk all the way until you arrive at Human Resources on your left.",../../../images/centenary-maps/elevators.png,
